Dr. B R Ambedkar National Institute of Technology, Jalandhar!Bio Technology (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2675!2875
National Institute of Technology, Rourkela!Civil Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!987!1129
National Institute of Technology, Rourkela!Computer Science and Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!76!202
National Institute of Technology, Rourkela!Electrical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!402!414
National Institute of Technology, Rourkela!Electronics and Communication Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!343!356
National Institute of Technology, Rourkela!Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!566!735
National Institute of Technology, Rourkela!Food Process Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2123!2123
National Institute of Technology, Rourkela!Industrial Design (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2397!2397
National Institute of Technology, Rourkela!Life Science (5 Years, Integrated Master of Science)!OS!Gender-Neutral!2820!2820
National Institute of Technology, Rourkela!Mathematics (5 Years, Integrated Master of Science)!OS!Gender-Neutral!2717!2717
National Institute of Technology, Rourkela!Mechanical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!933!1365
National Institute of Technology, Rourkela!Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1972!2275
National Institute of Technology, Rourkela!Mining Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2076!2076
National Institute of Technology, Rourkela!Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))!OS!Gender-Neutral!2462!2462
National Institute of Technology, Rourkela!Physics (5 Years, Integrated Master of Science)!OS!Gender-Neutral!1869!1869
National Institute of Technology, Silchar!Civil Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1750!2038
National Institute of Technology, Silchar!Computer Science and Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!318!806
National Institute of Technology, Silchar!Electrical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1473!1991
National Institute of Technology, Silchar!Electronics and Communication Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!808!1404
National Institute of Technology, Silchar!Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1786!2118
National Institute of Technology, Silchar!Mechanical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2126!2297
National Institute of Technology, Srinagar!Chemical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!3007!3088
National Institute of Technology, Srinagar!Civil Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1567!2648
National Institute of Technology, Srinagar!Computer Science and Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1083!1630
National Institute of Technology, Srinagar!Electrical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2468!2473
National Institute of Technology, Srinagar!Electronics and Communication Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1923!2322
National Institute of Technology, Srinagar!Information Technology (4 Years, Bachelor of Technology)!OS!Gender-Neutral!1745!2261
National Institute of Technology, Srinagar!Mechanical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2686!2707
National Institute of Technology, Srinagar!Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!2961!3556
National Institute of Technology, Tiruchirappalli!Architecture (5 Years, Bachelor of Architecture)!OS!Gender-Neutral!41!41
National Institute of Technology, Tiruchirappalli!Chemical Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!815!1001
National Institute of Technology, Tiruchirappalli!Civil Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!339!712
National Institute of Technology, Tiruchirappalli!Computer Science and Engineering (4 Years, Bachelor of Technology)!OS!Gender-Neutral!45!123
